"","st","NAME","PARTY","ELECYR","ELECTP","POS.PCT","NEG.PCT"
"494","CA","GW Bush",2,2000,1,51,"44"
"495","CA","GW Bush",2,2000,1,42,"52"
"496","CA","GW Bush",2,2000,1,52,"42"
"497","CA","GW Bush",2,2000,1,49,"46"
"498","CA","GW Bush",2,2000,1,51,"45"
"499","CA","GW Bush",2,2000,1,49,"40"
"500","CA","GW Bush",2,2000,1,43,"45"
"501","CA","GW Bush",2,2000,1,47,"43"
"502","CA","GW Bush",2,2000,1,54,"42"
"503","CA","GW Bush",2,2000,1,49,"48"
"504","CA","GW Bush",2,2000,1,46,"50"
"505","CA","GW Bush",2,2000,1,47,"51"
"506","CA","GW Bush",2,2000,1,43,"51"
"507","CA","GW Bush",2,2000,1,42,"53"
"508","CA","GW Bush",2,2000,1,43,"52"
"509","CA","GW Bush",2,2000,1,38,"50"
"510","CA","GW Bush",2,2000,1,35,"53"
"511","CA","GW Bush",2,2000,1,36,"54"
"512","CA","GW Bush",2,2000,1,44,"54"
"513","CA","GW Bush",2,2000,1,41,"56"
"514","CA","GW Bush",2,2000,1,42,"53"
"515","CA","GW Bush",2,2000,1,49,"48"
"516","CA","GW Bush",2,2000,1,43,"52"
"517","CA","GW Bush",2,2000,1,43,"53"
"518","CA","GW Bush",2,2000,1,37,"60"
"519","CA","GW Bush",2,2000,1,40,"56"
"520","CA","GW Bush",2,2000,1,41,"53"
"521","CA","GW Bush",2,2000,1,34,"61"
"522","CA","GW Bush",2,2000,1,40,"54"
"523","CA","GW Bush",2,2000,1,43,"52"
"524","CA","GW Bush",2,2000,1,38,"55"
"525","CA","GW Bush",2,2000,1,42,"51"
"526","CA","GW Bush",2,2000,1,43,"55"
"527","CA","GW Bush",2,2000,1,38,"60"
"528","CA","GW Bush",2,2000,1,46,"51"
"529","CA","GW Bush",2,2000,1,38,"58"
"530","CA","GW Bush",2,2004,2,39,"54"
"531","CA","GW Bush",2,2004,2,37,"58"
"532","CA","GW Bush",2,2004,2,32,"62"
"533","CA","GW Bush",2,2004,2,34,"64"
"534","CA","GW Bush",2,2004,2,39,"58"
"535","CA","GW Bush",2,2004,2,33,"58"
"536","CA","GW Bush",2,2004,2,32,"65"
"537","CA","GW Bush",2,2004,2,34,"60"
"538","CA","GW Bush",2,2004,2,31,"61"
"539","CA","GW Bush",2,2004,2,33,"65"
"540","CA","GW Bush",2,2004,2,35,"61"
"541","CA","GW Bush",2,2004,2,35,"55"
"542","CA","GW Bush",2,2004,2,33,"64"
"543","CA","GW Bush",2,2004,2,38,"60"
"544","CA","GW Bush",2,2004,2,30,"68"
"545","CA","GW Bush",2,2004,2,38,"56"
"546","CA","GW Bush",2,2004,2,33,"63"
"547","CA","GW Bush",2,2004,2,28,"62"
"548","CA","GW Bush",2,2004,2,32,"62"
"549","CA","GW Bush",2,2004,2,30,"67"
"550","CA","GW Bush",2,2004,2,31,"66"
"551","CA","GW Bush",2,2004,2,28,"71"
"552","CA","GW Bush",2,2004,2,28,"65"
"553","CA","GW Bush",2,2004,2,32,"67"
"554","CA","GW Bush",2,2004,2,30,"67"
"555","CA","GW Bush",2,2004,2,32,"61"
"556","CA","GW Bush",2,2004,2,36,"62"
"557","CA","GW Bush",2,2004,2,30,"67"
"558","CA","GW Bush",2,2004,2,27,"62"
"559","CA","GW Bush",2,2004,2,32,"65"
"560","CA","GW Bush",2,2004,2,32,"62"
"561","CA","GW Bush",2,2004,2,28,"69"
"562","CA","GW Bush",2,2004,2,34,"61"
