"","st","year","unemployment"
"542","VT","2006","3.68333333333333"
"543","VT","2008","4.70833333333333"
"544","VT","2011","5.46666666666667"
"545","VT","2016","3.24166666666667"
"546","VT","2017","3.00833333333333"
"547","WA","2010","9.99166666666667"
"548","WA","2014","6.125"
"549","WA","2015","5.64166666666667"
"550","WA","2008","5.40833333333333"
"551","WA","2009","9.11666666666667"
"552","WA","2006","5.05"
"553","WA","2016","5.275"
"554","WA","2005","5.54166666666667"
"555","WA","2012","8.10833333333333"
"556","WA","2011","9.275"
"557","WA","2013","7.03333333333333"
"558","WA","2017","4.775"
"559","WA","2007","4.69166666666667"
"560","WI","2010","8.64166666666667"
"561","WI","2015","4.525"
"562","WI","2016","4.00833333333333"
"563","WI","2006","4.74166666666667"
"564","WI","2009","8.575"
"565","WI","2011","7.75833333333333"
"566","WI","2013","6.7"
"567","WI","2005","4.71666666666667"
"568","WI","2008","4.925"
"569","WI","2014","5.41666666666667"
"570","WI","2007","4.89166666666667"
"571","WI","2012","7.03333333333333"
"572","WI","2017","3.3"
"573","CA","2005","5.4"
"574","CA","2006","4.91666666666667"
"575","CA","2011","11.7083333333333"
"576","CA","2014","7.5"
"577","CA","2016","5.48333333333333"
"578","CA","2010","12.225"
"579","CA","2008","7.29166666666667"
"580","CA","2012","10.375"
"581","CA","2015","6.2"
"582","CA","2009","11.1416666666667"
"583","CA","2013","8.94166666666667"
"584","CA","2007","5.375"
"585","CA","2017","4.775"
"586","WV","2011","8.05833333333333"
"587","WV","2014","6.64166666666667"
"588","WV","2007","4.55833333333333"
"589","WV","2006","4.95"
"590","WV","2008","4.36666666666667"
"591","WV","2016","6.08333333333333"
"592","WV","2010","8.625"
"593","WV","2012","7.49166666666667"
"594","WV","2017","5.18333333333333"
"595","WV","2005","5.1"
"596","WV","2009","7.70833333333333"
"597","WV","2015","6.75"
"598","WV","2013","6.79166666666667"
"599","WY","2006","3.175"
"600","WY","2016","5.275"
"601","WY","2007","2.85"
"602","WY","2012","5.30833333333333"
"603","WY","2011","5.79166666666667"
"604","WY","2005","3.575"
"605","WY","2010","6.45"
"606","WY","2015","4.31666666666667"
