year,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
1986,Alaska,"179,555","76,515","84,943",N/A,"18,097","8,428",D,"8,428",D,42.61,47.31,0,10.08,47.39,52.61
1986,Arizona,"866,984","343,913","298,986","224,085",N/A,"44,927",R,"44,927",R,39.67,34.49,25.85,0,53.49,46.51
1986,Arkansas,"688,551","248,427","439,882",N/A,242,"191,455",D,"191,455",D,36.08,63.89,0,0.04,36.09,63.91
1986,California,"7,443,551","4,506,601","2,781,714",N/A,"155,236","1,724,887",R,"1,724,887",R,60.54,37.37,0,2.09,61.83,38.17
1986,Colorado,"1,058,928","434,420","616,325",N/A,"8,183","181,905",D,"181,905",D,41.02,58.2,0,0.77,41.34,58.66
1986,Connecticut,"993,692","408,489","575,638",N/A,"9,565","167,149",D,"167,149",D,41.11,57.93,0,0.96,41.51,58.49
1986,Florida,"3,386,171","1,847,525","1,538,620",N/A,26,"308,905",R,"308,905",R,54.56,45.44,0,0,54.56,45.44
1986,Georgia,"1,175,114","346,512","828,465",N/A,137,"481,953",D,"481,953",D,29.49,70.5,0,0.01,29.49,70.51
1986,Hawaii,"334,115","160,460","173,655",N/A,N/A,"13,195",D,"13,195",D,48.03,51.97,0,0,48.03,51.97
1986,Idaho,"387,426","189,794","193,429",N/A,"4,203","3,635",D,"3,635",D,48.99,49.93,0,1.08,49.53,50.47
1986,Illinois,"3,143,978","1,655,849","208,830","1,256,626","22,673","399,223",R,"1,447,019",R,52.67,6.64,39.97,0.72,88.8,11.2
1986,Iowa,"910,623","472,712","436,987",N/A,924,"35,725",R,"35,725",R,51.91,47.99,0,0.1,51.96,48.04
1986,Kansas,"840,605","436,267","404,338",N/A,N/A,"31,929",R,"31,929",R,51.9,48.1,0,0,51.9,48.1
1986,Maine,"426,861","170,312","128,744",N/A,"127,805","41,568",R,"41,568",R,39.9,30.16,0,29.94,56.95,43.05
1986,Maryland,"1,101,476","194,185","907,291",N/A,N/A,"713,106",D,"713,106",D,17.63,82.37,0,0,17.63,82.37
1986,Massachusetts,"1,684,079","525,364","1,157,786",N/A,929,"632,422",D,"632,422",D,31.2,68.75,0,0.06,31.21,68.79
1986,Michigan,"2,396,564","753,647","1,632,138",N/A,"10,779","878,491",D,"878,491",D,31.45,68.1,0,0.45,31.59,68.41
1986,Minnesota,"1,415,989","606,755","790,138",N/A,"19,096","183,383",D,"183,383",D,42.85,55.8,0,1.35,43.44,56.56
1986,Nebraska,"564,422","298,325","265,156",N/A,941,"33,169",R,"33,169",R,52.85,46.98,0,0.17,52.94,47.06
1986,Nevada,"260,375","65,081","187,268",N/A,"8,026","122,187",D,"122,187",D,25,71.92,0,3.08,25.79,74.21
1986,New Hampshire,"251,107","134,824","116,142",N/A,141,"18,682",R,"18,682",R,53.69,46.25,0,0.06,53.72,46.28
1986,New Mexico,"394,833","209,455","185,378",N/A,N/A,"24,077",R,"24,077",R,53.05,46.95,0,0,53.05,46.95
1986,New York,"4,294,124","1,363,810","2,775,229",N/A,"155,085","1,411,419",D,"1,411,419",D,31.76,64.63,0,3.61,32.95,67.05
1986,Ohio,"3,066,611","1,207,264","1,858,372",N/A,975,"651,108",D,"651,108",D,39.37,60.6,0,0.03,39.38,60.62
1986,Oklahoma,"909,925","431,762","405,295",N/A,"72,868","26,467",R,"26,467",R,47.45,44.54,0,8.01,51.58,48.42
1986,Oregon,"1,059,630","506,986","549,456",N/A,"3,188","42,470",D,"42,470",D,47.85,51.85,0,0.3,47.99,52.01
1986,Pennsylvania,"3,388,275","1,638,268","1,717,484",N/A,"32,523","79,216",D,"79,216",D,48.35,50.69,0,0.96,48.82,51.18
1986,Rhode Island,"322,724","208,822","104,508",N/A,"9,394","104,314",R,"104,314",R,64.71,32.38,0,2.91,66.65,33.35
1986,South Carolina,"753,751","384,565","361,325",N/A,"7,861","23,240",R,"23,240",R,51.02,47.94,0,1.04,51.56,48.44
1986,South Dakota,"294,441","152,543","141,898",N/A,N/A,"10,645",R,"10,645",R,51.81,48.19,0,0,51.81,48.19
1986,Tennessee,"1,210,339","553,449","656,602",N/A,288,"103,153",D,"103,153",D,45.73,54.25,0,0.02,45.74,54.26
1986,Texas,"3,441,460","1,813,779","1,584,515",N/A,"43,166","229,264",R,"229,264",R,52.7,46.04,0,1.25,53.37,46.63
1986,Vermont,"196,716","75,162","92,379",N/A,"29,175","17,217",D,"17,217",D,38.21,46.96,0,14.83,44.86,55.14
1986,Wisconsin,"1,526,960","805,090","705,578",N/A,"16,292","99,512",R,"99,512",R,52.73,46.21,0,1.07,53.29,46.71
1986,Wyoming,"164,720","75,841","88,879",N/A,N/A,"13,038",D,"13,038",D,46.04,53.96,0,0,46.04,53.96
1987,Kentucky,"777,815","273,141","504,674",N/A,N/A,"231,533",D,"231,533",D,35.12,64.88,0,0,35.12,64.88
1987,Louisiana,"1,558,730","287,780","516,078","437,801","317,071","78,277",D,"228,298",D,18.46,33.11,28.09,20.34,35.8,64.2
1987,Mississippi,"721,695","336,006","385,689",N/A,N/A,"49,683",D,"49,683",D,46.56,53.44,0,0,46.56,53.44
1988,Delaware,"239,969","169,733","70,236",N/A,N/A,"99,497",R,"99,497",R,70.73,29.27,0,0,70.73,29.27
1988,Indiana,"2,140,781","1,002,207","1,138,574",N/A,N/A,"136,367",D,"136,367",D,46.82,53.18,0,0,46.82,53.18
1988,Missouri,"2,085,928","1,339,531","724,919",N/A,"21,478","614,612",R,"614,612",R,64.22,34.75,0,1.03,64.89,35.11
1988,Montana,"367,021","190,604","169,313",N/A,"7,104","21,291",R,"21,291",R,51.93,46.13,0,1.94,52.96,47.04
1988,New Hampshire,"441,923","267,064","172,543",N/A,"2,316","94,521",R,"94,521",R,60.43,39.04,0,0.52,60.75,39.25
1988,North Carolina,"2,180,205","1,222,338","957,867",N/A,N/A,"264,471",R,"264,471",R,56.07,43.93,0,0,56.07,43.93
1988,North Dakota,"299,080","119,986","179,094",N/A,N/A,"59,108",D,"59,108",D,40.12,59.88,0,0,40.12,59.88
1988,Rhode Island,"400,516","203,550","196,936",N/A,30,"6,614",R,"6,614",R,50.82,49.17,0,0.01,50.83,49.17
1988,Utah,"649,114","260,462","249,321",N/A,"139,331","11,141",R,"11,141",R,40.13,38.41,0,21.46,51.09,48.91
1988,Vermont,"242,879","105,191","134,438",N/A,"3,250","29,247",D,"29,247",D,43.31,55.35,0,1.34,43.9,56.1
1988,Washington,"1,874,929","708,481","1,166,448",N/A,N/A,"457,967",D,"457,967",D,37.79,62.21,0,0,37.79,62.21
1988,West Virginia,"649,593","267,172","382,421",N/A,N/A,"115,249",D,"115,249",D,41.13,58.87,0,0,41.13,58.87
1989,New Jersey,"2,253,800","838,553","1,379,973",N/A,"35,274","541,420",D,"541,420",D,37.21,61.23,0,1.57,37.8,62.2
1989,Virginia,"1,789,078","890,195","896,936",N/A,"1,947","6,741",D,"6,741",D,49.76,50.13,0,0.11,49.81,50.19
1990,Alabama,"1,216,250","633,519","582,106",N/A,625,"51,413",R,"51,413",R,52.09,47.86,0,0.05,52.11,47.89
1990,Alaska,"194,750","50,991","60,201","75,721","7,837","15,520",T,"9,210",D,26.18,30.91,38.88,4.02,45.86,54.14
1990,Arizona,"1,055,406","523,984","519,691",N/A,"11,731","4,293",R,"4,293",R,49.65,49.24,0,1.11,50.21,49.79
1990,Arkansas,"696,412","295,925","400,386",N/A,101,"104,461",D,"104,461",D,42.49,57.49,0,0.01,42.5,57.5
1990,California,"7,699,467","3,791,904","3,525,197",N/A,"382,366","266,707",R,"266,707",R,49.25,45.78,0,4.97,51.82,48.18
1990,Connecticut,"1,142,101","427,840","237,641","460,576","16,044","32,736",T,"190,199",R,37.46,20.81,40.33,1.4,64.29,35.71
1990,Florida,"3,530,871","1,535,068","1,995,206",597,N/A,"460,138",D,"460,138",D,43.48,56.51,0.02,0,43.48,56.52
1990,Georgia,"1,449,682","645,625","766,662",N/A,"37,395","121,037",D,"121,037",D,44.54,52.88,0,2.58,45.71,54.29
1990,Hawaii,"340,132","131,310","203,491",N/A,"5,331","72,181",D,"72,181",D,38.61,59.83,0,1.57,39.22,60.78
1990,Idaho,"320,610","101,937","218,673",N/A,N/A,"116,736",D,"116,736",D,31.79,68.21,0,0,31.79,68.21
1990,Illinois,"3,257,410","1,653,126","1,569,217",N/A,"35,067","83,909",R,"83,909",R,50.75,48.17,0,1.08,51.3,48.7
1990,Iowa,"976,483","591,852","379,372",N/A,"5,259","212,480",R,"212,480",R,60.61,38.85,0,0.54,60.94,39.06
1990,Kansas,"783,325","333,589","380,609",N/A,"69,127","47,020",D,"47,020",D,42.59,48.59,0,8.82,46.71,53.29
1990,Maine,"522,492","243,766","230,038",N/A,"48,688","13,728",R,"13,728",R,46.65,44.03,0,9.32,51.45,48.55
1990,Maryland,"1,111,088","446,980","664,015",N/A,93,"217,035",D,"217,035",D,40.23,59.76,0,0.01,40.23,59.77
1990,Massachusetts,"2,342,927","1,175,817","1,099,878",N/A,"67,232","75,939",R,"75,939",R,50.19,46.94,0,2.87,51.67,48.33
1990,Michigan,"2,564,563","1,276,134","1,258,539",N/A,"29,890","17,595",R,"17,595",R,49.76,49.07,0,1.17,50.35,49.65
1990,Minnesota,"1,806,777","895,988","836,218",N/A,"74,571","59,770",R,"59,770",R,49.59,46.28,0,4.13,51.73,48.27
1990,Nebraska,"586,542","288,741","292,771",N/A,"5,030","4,030",D,"4,030",D,49.23,49.91,0,0.86,49.65,50.35
1990,Nevada,"320,743","95,789","207,878",N/A,"17,076","112,089",D,"112,089",D,29.86,64.81,0,5.32,31.54,68.46
1990,New Hampshire,"295,018","177,773","101,923",N/A,"15,322","75,850",R,"75,850",R,60.26,34.55,0,5.19,63.56,36.44
1990,New Mexico,"411,232","185,692","224,564",N/A,976,"38,872",D,"38,872",D,45.16,54.61,0,0.24,45.26,54.74
1990,New York,"4,056,896","865,948","2,157,087","827,614","206,247","1,291,139",D,"1,291,139",D,21.35,53.17,20.4,5.08,28.64,71.36
1990,Ohio,"3,482,650","1,938,103","1,544,416",N/A,131,"393,687",R,"393,687",R,55.65,44.35,0,0,55.65,44.35
